,code,name,date,weight
355,600587,新华医疗,2017-06-01,0.15
356,002311,海大集团,2017-06-01,0.36
357,603883,老百姓,2017-06-01,0.13
358,600064,南京高科,2017-06-01,0.22
359,600811,东方集团,2017-06-01,0.25
360,000563,陕国投Ａ,2017-06-01,0.16
361,600563,法拉电子,2017-06-01,0.16
362,603866,桃李面包,2017-06-01,0.04
363,300257,开山股份,2017-06-01,0.17
364,000926,福星股份,2017-06-01,0.19
365,000566,海南海药,2017-06-01,0.3
366,002727,一心堂,2017-06-01,0.12
367,002051,中工国际,2017-06-01,0.24
368,600517,置信电气,2017-06-01,0.14
369,002665,首航节能,2017-06-01,0.25
370,600338,西藏珠峰,2017-06-01,0.12
371,600633,浙数文化,2017-06-01,0.26
372,600483,福能股份,2017-06-01,0.09
373,002431,棕榈股份,2017-06-01,0.25
374,600184,光电股份,2017-06-01,0.07
375,002122,天马股份,2017-06-01,0.17
376,002416,爱施德,2017-06-01,0.08
377,300159,新研股份,2017-06-01,0.3
378,600267,海正药业,2017-06-01,0.17
379,600522,中天科技,2017-06-01,0.58
380,600557,康缘药业,2017-06-01,0.18
381,002646,青青稞酒,2017-06-01,0.08
382,600195,中牧股份,2017-06-01,0.11
383,603555,贵人鸟,2017-06-01,0.07
384,603169,兰石重装,2017-06-01,0.11
385,600825,新华传媒,2017-06-01,0.1
386,600729,重庆百货,2017-06-01,0.17
387,600682,南京新百,2017-06-01,0.44
388,600673,东阳光科,2017-06-01,0.35
389,600664,哈药股份,2017-06-01,0.23
390,600655,豫园股份,2017-06-01,0.32
391,600645,中源协和,2017-06-01,0.18
392,600499,科达洁能,2017-06-01,0.24
393,600468,百利电气,2017-06-01,0.06
394,600289,亿阳信通,2017-06-01,0.14
395,600175,美都能源,2017-06-01,0.17
396,600161,天坛生物,2017-06-01,0.33
397,300156,神雾环保,2017-06-01,0.5
398,002373,千方科技,2017-06-01,0.2
399,002194,武汉凡谷,2017-06-01,0.06
400,002168,深圳惠程,2017-06-01,0.39
401,001696,宗申动力,2017-06-01,0.14
402,000979,中弘股份,2017-06-01,0.25
403,000806,银河生物,2017-06-01,0.21
404,000703,恒逸石化,2017-06-01,0.18
405,000592,平潭发展,2017-06-01,0.16
406,000099,中信海直,2017-06-01,0.13
407,000031,中粮地产,2017-06-01,0.22
408,000006,深振业Ａ,2017-06-01,0.22
409,002603,以岭药业,2017-06-01,0.22
410,300134,大富科技,2017-06-01,0.25
411,002602,世纪华通,2017-06-01,0.28
412,300043,星辉娱乐,2017-06-01,0.1
413,600266,北京城建,2017-06-01,0.38
414,000587,金洲慈航,2017-06-01,0.17
415,002041,登海种业,2017-06-01,0.12
416,600687,刚泰控股,2017-06-01,0.21
417,002384,东山精密,2017-06-01,0.29
418,000028,国药一致,2017-06-01,0.31
419,600572,康恩贝,2017-06-01,0.23
420,002004,华邦健康,2017-06-01,0.31
421,002408,齐翔腾达,2017-06-01,0.24
422,601717,郑煤机,2017-06-01,0.19
423,000848,承德露露,2017-06-01,0.16
424,002001,新 和 成,2017-06-01,0.26
425,603567,珍宝岛,2017-06-01,0.08
426,000078,海王生物,2017-06-01,0.26
427,002251,步 步 高,2017-06-01,0.09
428,002595,豪迈科技,2017-06-01,0.24
429,002366,台海核电,2017-06-01,0.29
430,000501,鄂武商Ａ,2017-06-01,0.17
431,002551,尚荣医疗,2017-06-01,0.1
432,002463,沪电股份,2017-06-01,0.14
433,600872,中炬高新,2017-06-01,0.25
434,002309,中利集团,2017-06-01,0.11
435,300253,卫宁健康,2017-06-01,0.22
436,600351,亚宝药业,2017-06-01,0.11
437,300032,金龙机电,2017-06-01,0.12
438,600511,国药股份,2017-06-01,0.28
439,000998,隆平高科,2017-06-01,0.37
440,000869,张 裕Ａ,2017-06-01,0.13
441,601012,隆基股份,2017-06-01,0.49
442,002118,紫鑫药业,2017-06-01,0.09
443,600565,迪马股份,2017-06-01,0.22
444,600062,华润双鹤,2017-06-01,0.26
445,002332,仙琚制药,2017-06-01,0.11
446,000727,华东科技,2017-06-01,0.21
447,600056,中国医药,2017-06-01,0.37
448,600416,湘电股份,2017-06-01,0.19
449,600993,马应龙,2017-06-01,0.17
450,000690,宝新能源,2017-06-01,0.21
451,000418,小天鹅Ａ,2017-06-01,0.29
452,300274,阳光电源,2017-06-01,0.19
453,002223,鱼跃医疗,2017-06-01,0.31
454,600422,昆药集团,2017-06-01,0.16
455,000860,顺鑫农业,2017-06-01,0.2
456,000581,威孚高科,2017-06-01,0.35
457,600694,大商股份,2017-06-01,0.18
458,600859,王府井,2017-06-01,0.13
459,000786,北新建材,2017-06-01,0.33
460,600380,健康元,2017-06-01,0.18
461,600039,四川路桥,2017-06-01,0.2
462,600597,光明乳业,2017-06-01,0.2
463,300296,利亚德,2017-06-01,0.4
464,000999,华润三九,2017-06-01,0.33
465,002179,中航光电,2017-06-01,0.3
466,600759,洲际油气,2017-06-01,0.19
467,300244,迪安诊断,2017-06-01,0.26
468,600750,江中药业,2017-06-01,0.17
469,600594,益佰制药,2017-06-01,0.26
470,000620,新华联,2017-06-01,0.15
471,300199,翰宇药业,2017-06-01,0.19
472,000723,美锦能源,2017-06-01,0.07
473,002038,双鹭药业,2017-06-01,0.3
474,600600,青岛啤酒,2017-06-01,0.26
475,603589,口子窖,2017-06-01,0.3
476,600809,山西汾酒,2017-06-01,0.22
477,002217,合力泰,2017-06-01,0.21
478,300115,长盈精密,2017-06-01,0.42
479,603198,迎驾贡酒,2017-06-01,0.12
480,002285,世联行,2017-06-01,0.17
481,002698,博实股份,2017-06-01,0.08
482,002422,科伦药业,2017-06-01,0.37
483,002508,老板电器,2017-06-01,0.56
484,600059,古越龙山,2017-06-01,0.12
485,603868,飞科电器,2017-06-01,0.07
486,002572,索菲亚,2017-06-01,0.58
487,600478,科力远,2017-06-01,0.24
488,603369,今世缘,2017-06-01,0.12
489,603188,亚邦股份,2017-06-01,0.16
490,002368,太极股份,2017-06-01,0.15
491,000513,丽珠集团,2017-06-01,0.24
492,002635,安洁科技,2017-06-01,0.26
493,002161,远 望 谷,2017-06-01,0.11
494,002589,瑞康医药,2017-06-01,0.19
495,000661,长春高新,2017-06-01,0.43
496,000816,智慧农业,2017-06-01,0.22
497,600300,维维股份,2017-06-01,0.16
498,000596,古井贡酒,2017-06-01,0.15
499,002271,东方雨虹,2017-06-01,0.49
